name,arch,n_keys,n_experts,expert_dim,n_heads,top_k,lambda_aux,router_split,unif_mode,activation,seed,task,n_params,grok_step,final_train_acc,final_test_acc,final_train_loss,final_test_loss,wall_time_s,subdir,tt_rank,tucker_rank,dead_frac_1,dead_frac_2,route_entropy_1,route_entropy_2
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk0_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,287968,600,1.0,1.0,3.082752597030039e-07,5.512360298164487e-07,499.7704813480377,runs,16,32,0.0,0.0,1.0804344884416996,1.084153486741477
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,single,287968,600,1.0,1.0,3.36983278065526e-07,4.513045979303453e-07,551.0265123844147,runs,16,32,0.0,0.0,1.2750580089748937,1.2650499322119573
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,1,single,287968,700,1.0,1.0,1.685792836440409e-05,1.7609776886721187e-05,540.4836053848267,runs,16,32,0.0,0.0,1.3607912979817576,1.324009163721921
moe_tucker_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,2,single,287968,500,1.0,1.0,8.975002938371865e-07,1.3515597337692066e-06,550.7491698265076,runs,16,32,0.0,0.0,1.2789481560208709,1.267864020170065
moe_tucker_n16_m8_h4_k4_lam0.001_random_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,random,token,relu,0,single,287968,1700,1.0,0.9980422866092404,0.00047816289620719235,0.00861381942999951,496.07205843925476,runs,16,32,0.0,0.0,1.3605089259134573,1.3602928216721197
moe_tucker_n16_m8_h4_k4_lam0.01_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.01,natural,token,relu,0,single,287968,800,1.0,1.0,2.4423955397692254e-05,4.490023842059548e-05,491.82078552246094,runs,16,32,0.0,0.0,1.2595131448967847,1.1609643296484418
moe_tucker_n16_m8_h4_k4_lam0_natural_single_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.0,natural,token,relu,0,single,287968,500,1.0,1.0,1.6980576116958204e-06,1.8685403044394617e-06,493.53710198402405,runs,16,32,0.0,0.0,1.3824320776795471,1.3787757811507861
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,single,1090400,400,1.0,1.0,5.121960756435035e-07,5.472694762844589e-07,1047.2419519424438,runs,16,32,0.0,0.0,1.324027221245235,1.3124161558747245
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,1,single,1090400,500,1.0,1.0,3.1881303445773854e-07,3.2584160856593376e-07,1050.6876482963562,runs,16,32,0.0,0.0,1.3078034987734575,1.3090310613852678
moe_tucker_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,2,single,1090400,600,1.0,1.0,2.8564686769810135e-07,3.266816768436434e-07,1048.593281030655,runs,16,32,0.0,0.0,1.3082889258343402,1.3091375740779316
moe_tucker_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_tucker,4,16,8,4,4,0.001,natural,token,relu,0,single,30880,900,1.0,1.0,1.6532439466819306e-06,2.4896666419254026e-06,154.7014675140381,runs,16,32,0.0,0.0,1.2646800314159903,1.2695115885427222
moe_tucker_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_tucker,4,16,8,4,4,0.001,natural,token,relu,1,single,30880,1200,1.0,0.995301487862177,2.304521834681096e-06,0.01039499179777356,154.5532202720642,runs,16,32,0.0,0.0,1.2728897606591778,1.2647162651304296
moe_tucker_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_tucker,4,16,8,4,4,0.001,natural,token,relu,2,single,30880,800,1.0,1.0,1.7119321071351794e-06,4.000961780548096e-06,154.25966262817383,runs,16,32,0.0,0.0,1.2645860480780478,1.2703914191133032
